School Name,State,Region,College_Type,Tuition_In,Tuition_Out,Cost of Attendance (Academic),Highest Degree Awarded,Mean Earnings,10th Percentile Earnings,25th Percentile Earnings,Median Earnings,75th Percentile Earnings,90th Percentile Earnings
Full Sail University,FL,Southeast,Private,23694.0,23694.0,33638.0,Visual Performing,46000,7300,21900,39300,60700,78000
Gulf Coast State College,FL,Southeast,Public,2370.0,8633.0,8539.0,Humanities,34000,4900,15400,29700,45400,59100
Hillsborough Community College,FL,Southeast,Public,2506.0,9111.0,9568.0,Humanities,36800,7300,19300,33300,49000,66700
Indian River State College,FL,Southeast,Public,2764.0,10201.0,6276.0,Humanities,33800,7100,17100,30400,45200,61400
AI Miami International University of Art and Design,FL,Southeast,Private,17698.0,17698.0,27065.0,Visual Performing,34800,5600,15100,31600,47200,65800
Jacksonville University,FL,Southeast,Private,35260.0,35260.0,50466.0,Health,57100,13800,30900,50500,76200,91700
Keiser University-Ft Lauderdale,FL,Southeast,Private,19224.0,19224.0,33544.0,Health,35100,4900,17400,31100,47400,62400
Florida Gateway College,FL,Southeast,Public,3100.0,11747.0,9312.0,Humanities,32500,6000,16200,29500,42300,64700
Lake-Sumter State College,FL,Southeast,Public,3172.0,13276.0,9808.0,Humanities,34900,6400,17400,30900,44000,63000
State College of Florida-Manatee-Sarasota,FL,Southeast,Public,3074.0,11606.0,17646.0,Humanities,34900,5900,17400,30900,47100,65500
Traviss Technical College,FL,Southeast,Public,3251.0,11805.0,10753.0,Health,31800,4700,14700,31600,42600,59000
Miami Dade College,FL,Southeast,Public,2838.0,9661.0,12476.0,Humanities,35600,7900,16700,31100,47000,65800
University of Miami,FL,Southeast,Private,48484.0,48484.0,62810.0,Business Marketing,72900,12300,38200,60100,88100,112900
North Florida Community College,FL,Southeast,Public,3054.0,11400.0,9526.0,Humanities,31900,6700,16700,29400,38700,48000
University of North Florida,FL,Southeast,Public,6394.0,20798.0,20854.0,Health,49200,11700,28300,43200,63600,82600
Nova Southeastern University,FL,Southeast,Private,29880.0,29930.0,45722.0,Health,55600,13300,27500,45300,71300,112300
Northwest Florida State College,FL,Southeast,Public,3133.0,11940.0,12816.0,Humanities,34100,6400,15200,27800,43500,62300
Palm Beach Atlantic University,FL,Southeast,Private,29950.0,29950.0,43005.0,Business Marketing,48000,7400,23300,40600,62700,81300
Palm Beach State College,FL,Southeast,Public,2444.0,8732.0,9659.0,Humanities,37800,7100,19600,33300,49500,65000
Pasco-Hernando State College,FL,Southeast,Public,3155.0,12032.0,10764.0,Humanities,33100,5300,15900,29700,44600,62400
Pensacola State College,FL,Southeast,Public,2704.0,10875.0,10136.0,Humanities,32100,6000,16100,28200,42800,59600
Polk State College,FL,Southeast,Public,3366.0,12272.0,12858.0,Humanities,35000,7500,18200,31800,46900,63100
Ringling College of Art and Design,FL,Southeast,Private,44560.0,44560.0,62876.0,Visual Performing,43100,6900,17700,33200,57100,92400
Rollins College,FL,Southeast,Private,48335.0,48335.0,64422.0,Business Marketing,53100,11200,26200,45700,68000,91400
Saint Leo University,FL,Southeast,Private,22220.0,22220.0,36298.0,Business Marketing,50500,11900,27200,43800,66100,89400
St Petersburg College,FL,Southeast,Public,3352.0,11607.0,12040.0,Humanities,36700,6400,17000,32900,49500,66200
Santa Fe College,FL,Southeast,Public,2563.0,9189.0,12829.0,Humanities,39100,8300,19800,34600,51400,70700
Argosy University-Sarasota,FL,Southeast,Private,13438.0,13438.0,26462.0,Pyschology,45700,8900,24400,41400,60300,75000
Seminole State College of Florida,FL,Southeast,Public,3131.0,11456.0,12956.0,Humanities,35100,7200,16700,31800,47500,68000
Saint Johns River State College,FL,Southeast,Public,2839.0,10347.0,11214.0,Humanities,33300,7100,15900,30800,45400,64300
South Florida State College,FL,Southeast,Public,3165.0,11859.0,10052.0,Humanities,31300,4900,15300,26900,41100,57600
University of South Florida-Main Campus,FL,Southeast,Public,6410.0,17324.0,19868.0,Health,48500,12200,28400,43500,61300,81300
St. Thomas University,FL,Southeast,Private,29730.0,29730.0,41968.0,Business Marketing,60500,9200,30400,49400,83400,90000
Stetson University,FL,Southeast,Private,44490.0,44490.0,57961.0,Business Marketing,51800,12300,25400,43200,63900,88300
Southeastern University,FL,Southeast,Private,25360.0,25360.0,35123.0,Theology,37900,6000,21300,34800,47500,62600
Tallahassee Community College,FL,Southeast,Public,2026.0,8062.0,8736.0,Humanities,35100,7200,17500,30700,45200,63300
Altierus Career College-Tampa,FL,Southeast,Private,12879.0,12879.0,26136.0,Health,29500,4300,13800,26100,39600,55400
The University of Tampa,FL,Southeast,Private,28426.0,28426.0,42210.0,Business Marketing,55100,11900,32300,48600,69200,88400
Trinity Baptist College,FL,Southeast,Private,11640.0,11640.0,20628.0,Mutlidiscipline,33300,5500,20400,33600,44100,56000
Valencia College,FL,Southeast,Public,2474.0,9383.0,10712.0,Humanities,37000,7700,19300,32600,48400,66000
Warner University,FL,Southeast,Private,21216.0,21216.0,33184.0,Humanities,42500,15100,23900,38600,55300,83600
Webber International University,FL,Southeast,Private,25358.0,25358.0,39879.0,Business Marketing,40100,10600,22400,37200,51800,69700
Rasmussen College-Florida,FL,Southeast,Private,10935.0,10935.0,22223.0,Health,34300,8300,20400,32600,45200,58200
The University of West Florida,FL,Southeast,Public,6360.0,19241.0,16910.0,Humanities,43400,9500,25000,38900,54600,74300
Abraham Baldwin Agricultural College,GA,Southeast,Public,3503.0,10241.0,13196.0,Humanities,36300,8900,19300,32900,47500,64500
Agnes Scott College,GA,Southeast,Private,39960.0,39960.0,50892.0,Social science,46300,8200,24300,39400,58900,79600
Interactive College of Technology-Chamblee,GA,Southeast,Private,9890.0,9890.0,17971.0,Mechanic,27500,5200,12500,23000,36300,50800
Interactive College of Technology-Morrow,GA,Southeast,Private,9770.0,9770.0,17466.0,Business Marketing,27500,5200,12500,23000,36300,50800
Albany Technical College,GA,Southeast,Public,2712.0,4848.0,7873.0,Business Marketing,25200,5200,12600,21700,33400,51400
Albany State University,GA,Southeast,Public,5675.0,16136.0,16837.0,Health,34600,10300,19500,32200,45000,61200
Andrew College,GA,Southeast,Private,16560.0,16560.0,32800.0,Health,31900,7400,16700,29000,41200,50500
Armstrong State University,GA,Southeast,Public,5439.0,15900.0,18876.0,Health,44000,9000,23900,39900,56500,74100
The Art Institute of Atlanta,GA,Southeast,Private,17590.0,17590.0,30433.0,Visual Performing,36000,6600,16200,30900,48500,67200
Atlanta Technical College,GA,Southeast,Public,2816.0,4952.0,9230.0,Health,26700,5500,13300,22000,35100,50900
Point University,GA,Southeast,Private,20600.0,20600.0,30320.0,Theology,34700,8400,18400,32500,47400,59500
Atlanta Metropolitan State College,GA,Southeast,Public,3416.0,9880.0,10497.0,Humanities,31100,5400,16300,28000,41200,54700
Clark Atlanta University,GA,Southeast,Private,21892.0,21892.0,37761.0,Business Marketing,38200,6600,21200,35500,50600,71600
Augusta Technical College,GA,Southeast,Public,2794.0,4930.0,14544.0,Business Marketing,28600,5900,14600,24900,37600,53000
Bainbridge State College,GA,Southeast,Public,3270.0,9467.0,8845.0,Health,27800,6500,14900,25200,36700,48800
Berry College,GA,Southeast,Private,35176.0,35176.0,48001.0,Biological,43900,10600,25100,40000,54100,82500
Beulah Heights University,GA,Southeast,Private,9880.0,9880.0,22710.0,Philisophy religion,36900,3400,15700,29100,49100,54600
Brenau University,GA,Southeast,Private,28510.0,28510.0,41302.0,Health,45400,14600,28100,42000,58000,77600
Brewton-Parker College,GA,Southeast,Private,17740.0,17740.0,30900.0,Humanities,35100,8900,17400,31900,46900,63000
Brown College of Court Reporting,GA,Southeast,Private,12945.0,12945.0,36340.0,Legal,33500,6300,18400,29200,44500,61700
College of Coastal Georgia,GA,Southeast,Public,4496.0,12918.0,16672.0,Humanities,32800,5600,14600,28300,44700,60000
West Georgia Technical College,GA,Southeast,Public,2838.0,4974.0,9225.0,Health,32200,6200,15400,28500,44700,57500
Clayton  State University,GA,Southeast,Public,5419.0,15880.0,17102.0,Health,42300,10400,23000,38800,55200,73500
Columbus Technical College,GA,Southeast,Public,2704.0,4840.0,13066.0,Health,28300,6600,14300,25800,38700,54300
Columbus State University,GA,Southeast,Public,6134.0,16920.0,18559.0,Health,38800,9900,21800,35900,50100,69100
Georgia Northwestern Technical College,GA,Southeast,Public,2774.0,4910.0,9871.0,Health,29700,5600,13900,25700,39900,51800
Covenant College,GA,Southeast,Private,33170.0,33170.0,44576.0,English,46700,7100,24300,41200,56200,83600
Dalton State College,GA,Southeast,Public,4212.0,12634.0,11098.0,Humanities,34700,6600,20100,32300,44300,57700
South University-Savannah,GA,Southeast,Private,17014.0,17014.0,29387.0,Health,40200,7100,17600,33400,54000,67200
East Georgia State College,GA,Southeast,Public,3110.0,9307.0,9556.0,Humanities,34000,9400,19200,31500,44300,58800
Emmanuel College,GA,Southeast,Private,19710.0,19710.0,28282.0,Parks Rec,35400,7000,19100,33600,46600,60000
Emory University,GA,Southeast,Private,49392.0,49392.0,65080.0,Business Marketing,84400,18300,44900,66000,106700,135900
Georgia Highlands College,GA,Southeast,Public,3288.0,9485.0,11597.0,Humanities,38100,7300,19900,34700,51000,68500
Fort Valley State University,GA,Southeast,Public,6658.0,19738.0,19655.0,Pyschology,34700,7900,19300,30900,45000,58300
Georgia Institute of Technology-Main Campus,GA,Southeast,Public,12418.0,33014.0,27245.0,Engineering,85900,23700,54200,79100,103000,130000
Georgia Southwestern State University,GA,Southeast,Public,5341.0,15802.0,19522.0,Business Marketing,40100,9100,22000,36400,50200,69000
Georgia College & State University,GA,Southeast,Public,9346.0,28060.0,27273.0,Business Marketing,45200,11300,27500,40500,55600,70600
Georgia Southern University,GA,Southeast,Public,6356.0,17142.0,22467.0,Business Marketing,46100,12000,27400,41900,59200,75900
Georgia State University,GA,Southeast,Public,9112.0,23971.0,24857.0,Business Marketing,48200,10200,26000,43300,62700,81800
University of Georgia,GA,Southeast,Public,11818.0,30392.0,26022.0,Business Marketing,59100,14200,32800,50500,74200,96200
Gordon State College,GA,Southeast,Public,3828.0,10010.0,14923.0,Humanities,34700,7100,19400,31200,45900,60800
Southern Crescent Technical College,GA,Southeast,Public,2840.0,4974.0,12088.0,Business Marketing,30200,6300,14800,26900,39500,53300
Gupton Jones College of Funeral Service,GA,Southeast,Private,11700.0,11700.0,20280.0,Personal Culinary,32700,9000,14200,29000,46300,60200
Gwinnett College-Lilburn,GA,Southeast,Private,9925.0,9925.0,25264.0,Health,27900,5300,14000,27600,36400,46700
Gwinnett Technical College,GA,Southeast,Public,2868.0,5004.0,13379.0,Health,36600,6600,19000,33600,50300,69800
LaGrange College,GA,Southeast,Private,29480.0,29480.0,41837.0,Business Marketing,45700,14800,25000,39600,56200,70500
Lanier Technical College,GA,Southeast,Public,3282.0,5952.0,9718.0,Health,29000,3600,13400,26700,39500,54600
Life University,GA,Southeast,Private,11715.0,11715.0,34988.0,Biological,47200,7100,16900,35600,56500,90300
Chattahoochee Technical College,GA,Southeast,Public,2782.0,4918.0,8337.0,Mechanic,31700,5200,15500,28600,43100,58800
Herzing University-Atlanta,GA,Southeast,Private,13850.0,13850.0,28345.0,Health,41600,12300,22900,37800,54700,77200
Mercer University,GA,Southeast,Private,36000.0,36000.0,50080.0,Business Marketing,58200,13400,31400,48200,72800,114200
Morehouse College,GA,Southeast,Private,27278.0,27278.0,47888.0,Social science,49000,7000,22900,41800,66700,96300
North Georgia Technical College,GA,Southeast,Public,2734.0,4870.0,12070.0,Health,26300,3900,12500,25600,35300,43700
Oglethorpe University,GA,Southeast,Private,36680.0,36680.0,50428.0,Business Marketing,49400,7600,25300,42100,61900,91000
Paine College,GA,Southeast,Private,14226.0,14226.0,24782.0,Business Marketing,29700,6400,18300,28200,38300,56000
Piedmont College,GA,Southeast,Private,24464.0,24464.0,35493.0,Health,43400,8100,25900,40600,53700,67100
Reinhardt University,GA,Southeast,Private,22422.0,22422.0,35057.0,Business Marketing,40500,10300,21500,36600,50600,65500
Savannah Technical College,GA,Southeast,Public,2744.0,4880.0,10704.0,Health,29500,6100,14600,25300,39000,54500
Savannah College of Art and Design,GA,Southeast,Private,36410.0,36410.0,54483.0,Visual Performing,41400,8100,18500,36400,56500,78400
Savannah State University,GA,Southeast,Public,5743.0,16204.0,16498.0,Business Marketing,35000,8400,18100,31300,45900,64700
Shorter University,GA,Southeast,Private,21730.0,21730.0,33718.0,Business Marketing,50100,12100,30000,43200,63400,85400
South Georgia Technical College,GA,Southeast,Public,2794.0,4930.0,9137.0,Mechanic,27200,5100,13100,23400,36400,53500
Spelman College,GA,Southeast,Private,28181.0,28181.0,46359.0,Social science,50700,12100,28600,47000,67800,87400
Thomas University,GA,Southeast,Private,16940.0,16940.0,29991.0,Health,37400,6200,18800,34300,46600,69400
Toccoa Falls College,GA,Southeast,Private,22104.0,22104.0,34431.0,Theology,32200,6200,15500,29500,43200,52700
Truett McConnell University,GA,Southeast,Private,19480.0,19480.0,30013.0,Theology,37100,8200,19300,32600,46900,64600
Wiregrass Georgia Technical College,GA,Southeast,Public,2794.0,4930.0,8872.0,Health,25800,5800,13700,22500,35000,46600
Valdosta State University,GA,Southeast,Public,6410.0,17196.0,19553.0,Business Marketing,41600,11300,24600,38700,52900,68600
Wesleyan College,GA,Southeast,Private,22370.0,22370.0,31898.0,Health,37600,7200,16600,29900,46900,67300
University of West Georgia,GA,Southeast,Public,6226.0,17010.0,21257.0,Business Marketing,41700,10000,24200,38200,53000,69000
Young Harris College,GA,Southeast,Private,29062.0,29062.0,41778.0,Business Marketing,41300,8500,22100,37900,51500,64000
Chaminade University of Honolulu,HI,Far West,Private,24514.0,24514.0,35127.0,Security law,41000,10500,21800,38400,53500,77200
University of Hawaii at Hilo,HI,Far West,Public,7648.0,20608.0,21095.0,Health,41800,7300,19500,37900,54400,69000
University of Hawaii at Manoa,HI,Far West,Public,11754.0,33786.0,23015.0,Business Marketing,51800,12200,28100,45800,65100,89000
Hawaii Pacific University,HI,Far West,Private,24550.0,24550.0,40185.0,Business Marketing,56400,9700,30900,49900,75100,97500
Honolulu Community College,HI,Far West,Public,3054.0,8190.0,11647.0,Construction,40600,4700,18100,35700,54300,69200
Kapiolani Community College,HI,Far West,Public,3084.0,8220.0,10613.0,Humanities,43200,5600,21300,37200,58300,81000
Kauai Community College,HI,Far West,Public,3132.0,8268.0,14761.0,Health,40200,9500,16700,39000,56300,76200
Leeward Community College,HI,Far West,Public,3084.0,8220.0,8940.0,Humanities,37500,6300,18100,33200,50100,70900
University of Hawaii Maui College,HI,Far West,Public,3158.0,8294.0,14924.0,Humanities,34200,5200,14900,29900,45000,61000
University of Hawaii-West Oahu,HI,Far West,Public,7440.0,20400.0,14029.0,Business Marketing,41100,10400,21100,38600,56900,72000
Windward Community College,HI,Far West,Public,3064.0,8200.0,14913.0,Humanities,32400,6500,14700,29600,44600,66500
Boise State University,ID,Rocky Mountains,Public,7326.0,22642.0,18284.0,Health,43100,7800,22400,37100,55800,75100
College of Eastern Idaho,ID,Rocky Mountains,Public,2494.0,9056.0,18245.0,Health,30200,6200,13000,26200,42200,54200
Idaho State University,ID,Rocky Mountains,Public,7166.0,21942.0,19592.0,Health,43900,6800,20100,35700,59200,82600
University of Idaho,ID,Rocky Mountains,Public,7488.0,23812.0,20341.0,Business Marketing,47000,11100,26600,41900,61300,83100
The College of Idaho,ID,Rocky Mountains,Private,28755.0,28755.0,39507.0,Business Marketing,47300,10800,26300,40000,57900,79600
Lewis-Clark State College,ID,Rocky Mountains,Public,6334.0,18410.0,15945.0,Humanities,38200,6700,20100,34600,51500,65200
North Idaho College,ID,Rocky Mountains,Public,3494.0,8426.0,12271.0,Humanities,36000,5000,16500,31000,48500,62500
Northwest Nazarene University,ID,Rocky Mountains,Private,29000.0,29000.0,38203.0,Business Marketing,46300,8700,22800,39600,60200,72900
Brigham Young University-Idaho,ID,Rocky Mountains,Private,4018.0,4018.0,11833.0,Humanities,49400,4500,20300,42700,69500,88300
College of Southern Idaho,ID,Rocky Mountains,Public,3120.0,6720.0,11674.0,Humanities,33700,4900,15100,29300,45500,59400
American Academy of Art,IL,Great Lakes,Private,33220.0,33220.0,37705.0,Visual Performing,35600,7900,19300,31100,44400,60000
School of the Art Institute of Chicago,IL,Great Lakes,Private,49610.0,49610.0,62010.0,Visual Performing,40800,3900,17100,33500,54000,68500
Augustana College,IL,Great Lakes,Private,40908.0,40908.0,51464.0,Business Marketing,56400,19900,36300,52000,71800,89900
Aurora University,IL,Great Lakes,Private,23520.0,23520.0,33781.0,Health,46200,12100,27800,42700,59800,79500
Southwestern Illinois College,IL,Great Lakes,Public,3660.0,15870.0,11111.0,Health,30700,4700,14800,26900,41900,59500
Black Hawk College,IL,Great Lakes,Public,4470.0,7650.0,11565.0,Humanities,32800,5700,15500,29000,46300,61200
Blackburn College,IL,Great Lakes,Private,21992.0,21992.0,29448.0,Business Marketing,41700,11400,25100,37400,51100,71600
Bradley University,IL,Great Lakes,Private,32930.0,32930.0,45148.0,Engineering,58300,18200,35500,53600,77300,96700
Carl Sandburg College,IL,Great Lakes,Public,4530.0,7554.0,9795.0,Humanities,33200,5800,16300,29700,44900,59200
Chicago State University,IL,Great Lakes,Public,10252.0,17212.0,21270.0,Business Marketing,38200,6800,18500,33800,51900,70700
University of Chicago,IL,Great Lakes,Private,56034.0,56034.0,72717.0,Social science,103000,16700,43900,68100,120800,195000
City Colleges of Chicago-Kennedy-King College,IL,Great Lakes,Public,3506.0,11906.0,11222.0,Personal Culinary,29700,5500,13600,23500,40200,55100
City Colleges of Chicago-Malcolm X College,IL,Great Lakes,Public,3506.0,11906.0,10251.0,Health,29700,5900,14400,25100,40200,55500
City Colleges of Chicago-Olive-Harvey College,IL,Great Lakes,Public,3506.0,11906.0,9930.0,Transportation,27900,5600,13300,22800,38800,58700
City Colleges of Chicago-Harry S Truman College,IL,Great Lakes,Public,3506.0,11906.0,10163.0,Humanities,34000,5600,14500,28100,45400,72400
City Colleges of Chicago-Richard J Daley College,IL,Great Lakes,Public,3506.0,11906.0,8589.0,Construction,32200,7700,15500,28000,43200,59800
City Colleges of Chicago-Harold Washington College,IL,Great Lakes,Public,3506.0,11906.0,9340.0,Humanities,30700,5000,14000,26100,40900,56800
City Colleges of Chicago-Wilbur Wright College,IL,Great Lakes,Public,3506.0,11906.0,9051.0,Humanities,36700,7200,17600,32800,49300,66300
Columbia College Chicago,IL,Great Lakes,Private,26474.0,26474.0,41555.0,Visual Performing,39200,5900,18400,34400,52500,68900
Concordia University-Chicago,IL,Great Lakes,Private,31588.0,31588.0,38840.0,Business Marketing,42700,9100,26900,39700,55800,76900
Danville Area Community College,IL,Great Lakes,Public,4775.0,7775.0,10522.0,Health,30600,4500,15300,28000,41900,55200
DePaul University,IL,Great Lakes,Private,39010.0,39010.0,52912.0,Business Marketing,60200,12200,32800,53300,76600,99700
College of DuPage,IL,Great Lakes,Public,4050.0,11760.0,11650.0,Humanities,41500,6900,19700,36600,55800,74200
East-West University,IL,Great Lakes,Private,21450.0,21450.0,30067.0,Business Marketing,29000,5700,13900,25700,39200,50400
Eastern Illinois University,IL,Great Lakes,Public,11678.0,13868.0,23148.0,Education,46000,14000,29200,42200,57200,77000
Elgin Community College,IL,Great Lakes,Public,3108.0,11964.0,8746.0,Humanities,35800,4900,17700,32300,48300,63200
Elmhurst College,IL,Great Lakes,Private,36370.0,36370.0,44861.0,Business Marketing,51600,12700,32200,48300,66500,85700
Eureka College,IL,Great Lakes,Private,25390.0,25390.0,31338.0,Business Marketing,40500,10200,24200,36000,48900,72100
Fox College,IL,Great Lakes,Private,15160.0,15160.0,19365.0,Health,34600,7700,20500,33500,46800,60400
Governors State University,IL,Great Lakes,Public,11746.0,21136.0,23545.0,Humanities,44000,10900,23200,40800,58600,80400
Greenville University,IL,Great Lakes,Private,26356.0,26356.0,38083.0,Business Marketing,39900,8500,21800,36800,51100,70500
Highland Community College,IL,Great Lakes,Public,3999.0,6279.0,10687.0,Health,30100,4900,14300,26800,39800,58100
University of Illinois at Chicago,IL,Great Lakes,Public,13704.0,26560.0,25445.0,Business Marketing,61300,14300,33900,54300,77000,106700
Benedictine University,IL,Great Lakes,Private,33900.0,33900.0,42641.0,Business Marketing,56400,15400,30100,49000,71900,97500
University of Illinois at Urbana-Champaign,IL,Great Lakes,Public,15074.0,31194.0,30064.0,Engineering,70900,20800,41400,61500,88400,112000
Illinois Wesleyan University,IL,Great Lakes,Private,45856.0,45856.0,56487.0,Business Marketing,67300,19400,40700,59100,84000,104500
Illinois Central College,IL,Great Lakes,Public,4290.0,10800.0,14111.0,Humanities,35000,6500,16900,30500,46900,65100
Illinois College,IL,Great Lakes,Private,32140.0,32140.0,41805.0,Biological,49100,16100,28800,42800,58600,73600
Olney Central College,IL,Great Lakes,Public,3810.0,11734.0,7264.0,Health,34400,4600,16200,29500,44700,52900
Illinois Institute of Technology,IL,Great Lakes,Private,45864.0,45864.0,60489.0,Engineering,78000,22400,44000,69100,91900,118200
Argosy University-Chicago,IL,Great Lakes,Private,13438.0,13438.0,26750.0,Pyschology,45700,8900,24400,41400,60300,75000
Illinois State University,IL,Great Lakes,Public,14061.0,25168.0,28197.0,Business Marketing,51600,16500,33600,47100,64700,81200
Illinois Valley Community College,IL,Great Lakes,Public,3910.0,12058.0,11697.0,Health,34400,4100,15700,30700,46900,62700
John A Logan College,IL,Great Lakes,Public,3766.0,6106.0,11388.0,Health,31100,4500,13800,25700,41700,56100
John Wood Community College,IL,Great Lakes,Public,4800.0,8100.0,12031.0,Health,32600,4900,17600,29900,43600,53700
Joliet Junior College,IL,Great Lakes,Public,4320.0,12030.0,7802.0,Humanities,36400,6300,17000,31200,49200,66900
Judson University,IL,Great Lakes,Private,29434.0,29434.0,40180.0,Business Marketing,47200,10400,25000,42800,61100,86400
Kankakee Community College,IL,Great Lakes,Public,4410.0,21420.0,10561.0,Health,32300,4400,14900,29000,43900,59200
Kaskaskia College,IL,Great Lakes,Public,4470.0,12330.0,10409.0,Health,31200,4800,14900,28000,41900,53400
Kendall College,IL,Great Lakes,Private,19828.0,19828.0,38362.0,Business Marketing,42200,7800,24600,39300,51800,68800
Kishwaukee College,IL,Great Lakes,Public,4710.0,13050.0,12708.0,Mutlidiscipline,38500,6000,19400,34100,53200,65100
Knox College,IL,Great Lakes,Private,44958.0,44958.0,54443.0,Social science,43500,11500,25800,39700,56800,87000
College of Lake County,IL,Great Lakes,Public,3864.0,11872.0,8928.0,Humanities,37200,6300,17700,33800,50400,70000
Lake Forest College,IL,Great Lakes,Private,45548.0,45548.0,56679.0,Business Marketing,55600,14300,33400,50900,70800,99500
Lake Land College,IL,Great Lakes,Public,3990.0,13616.0,9732.0,Personal Culinary,32400,5400,16100,29100,44100,61300
Lewis and Clark Community College,IL,Great Lakes,Public,3432.0,12072.0,8320.0,Health,31700,3800,15100,27400,45000,57800
Lewis University,IL,Great Lakes,Private,31250.0,31250.0,39361.0,Business Marketing,53600,12300,32000,48800,70000,91900
Lincoln Christian University,IL,Great Lakes,Private,13020.0,13020.0,25597.0,Theology,37000,6400,19400,30900,48700,60700
Lincoln College,IL,Great Lakes,Private,18100.0,18100.0,29792.0,Humanities,34700,6200,18400,30900,45700,56300
Lincoln Land Community College,IL,Great Lakes,Public,3168.0,8976.0,11033.0,Humanities,32700,6600,15800,29600,44500,61200
Loyola University Chicago,IL,Great Lakes,Private,43078.0,43078.0,56178.0,Business Marketing,63500,15900,36500,54100,76900,96900
MacCormac College,IL,Great Lakes,Private,12660.0,12660.0,22502.0,Legal,31800,4800,14100,29700,44300,54300
MacMurray College,IL,Great Lakes,Private,26100.0,26100.0,35135.0,Health,39300,13000,22200,36200,51300,69600
McHenry County College,IL,Great Lakes,Public,3404.0,14003.0,11016.0,Health,36000,5500,17000,32900,49300,62600
McKendree University,IL,Great Lakes,Private,29640.0,29640.0,41031.0,Business Marketing,50200,12200,30800,45800,65000,77100
Midstate College,IL,Great Lakes,Private,16230.0,16230.0,27329.0,Business Marketing,30400,4800,13500,25600,40000,56800
Millikin University,IL,Great Lakes,Private,33066.0,33066.0,44306.0,Business Marketing,47200,15000,28400,42900,60200,81900
Monmouth College,IL,Great Lakes,Private,36400.0,36400.0,46435.0,Business Marketing,46500,13900,29200,41500,57700,74900
Moraine Valley Community College,IL,Great Lakes,Public,4266.0,10956.0,10278.0,Mutlidiscipline,38200,6700,16800,33700,51600,71900
Morton College,IL,Great Lakes,Public,4116.0,10260.0,9392.0,Humanities,37100,7000,19900,33300,48900,67100
National Louis University,IL,Great Lakes,Private,10440.0,10440.0,24158.0,Mutlidiscipline,50800,9600,26700,44600,68500,101300
North Central College,IL,Great Lakes,Private,37749.0,37749.0,47436.0,Business Marketing,52300,13000,31200,47800,65900,82200
North Park University,IL,Great Lakes,Private,28620.0,28620.0,35735.0,Health,45600,9600,24300,43700,62200,79000
Northern Illinois University,IL,Great Lakes,Public,14350.0,23816.0,28520.0,Business Marketing,49800,13000,29500,45500,65300,82800
Northwestern College-Chicago Campus,IL,Great Lakes,Private,17475.0,17475.0,29555.0,Health,33100,7200,15900,29600,43200,60600
Northwestern University,IL,Great Lakes,Private,52678.0,52678.0,70317.0,Communication,93400,16800,46600,69000,109800,173600
Northeastern Illinois University,IL,Great Lakes,Public,10736.0,19792.0,23967.0,Business Marketing,41900,8000,22400,37900,55400,72000
Oakton Community College,IL,Great Lakes,Public,3985.0,12462.0,11150.0,Humanities,43900,8800,20900,38500,58300,83500
Olivet Nazarene University,IL,Great Lakes,Private,34940.0,34940.0,44939.0,Health,44000,9600,22400,40400,57700,73500
Parkland College,IL,Great Lakes,Public,4920.0,15870.0,12417.0,Health,35300,5800,17400,30900,46700,65500
Prairie State College,IL,Great Lakes,Public,4104.0,10848.0,13560.0,Health,33300,5000,14900,29000,45700,61500
Quincy University,IL,Great Lakes,Private,27770.0,27770.0,39157.0,Business Marketing,46000,11700,26500,39500,57900,73200
Vatterott College-Quincy,IL,Great Lakes,Private,11007.0,11007.0,24934.0,Mechanic,30300,3700,13600,25400,42400,57400
The Illinois Institute of Art-Chicago,IL,Great Lakes,Private,17482.0,17482.0,27961.0,Visual Performing,38200,8000,19000,34100,51500,69200
Rend Lake College,IL,Great Lakes,Public,3750.0,6450.0,12963.0,Health,31400,3900,11900,26100,44400,60900
Richland Community College,IL,Great Lakes,Public,4350.0,14430.0,10053.0,Health,30900,4300,15700,27400,43200,56100
Robert Morris University Illinois,IL,Great Lakes,Private,26700.0,26700.0,35676.0,Business Marketing,36500,7400,18500,32300,48800,68900
Rock Valley College,IL,Great Lakes,Public,3764.0,15314.0,12806.0,Humanities,34000,6100,16500,30300,45000,65000
Madison Media Institute-Rockford Career College,IL,Great Lakes,Private,13366.0,13366.0,19904.0,Health,34400,4900,20100,31600,46800,47300
Rockford University,IL,Great Lakes,Private,30050.0,30050.0,40559.0,Health,47800,9900,30000,45200,60100,70900
Roosevelt University,IL,Great Lakes,Private,28963.0,28963.0,43251.0,Business Marketing,47700,10400,26900,43600,62400,83000
Dominican University,IL,Great Lakes,Private,32530.0,32530.0,40038.0,Business Marketing,49900,12000,28300,47100,65100,78800
University of St Francis,IL,Great Lakes,Private,31470.0,31470.0,39992.0,Health,56500,12500,36400,53100,73900,85300
Saint Xavier University,IL,Great Lakes,Private,33380.0,33380.0,38775.0,Health,50600,13100,29900,48200,67300,81800
University of Illinois at Springfield,IL,Great Lakes,Public,11413.0,20938.0,23966.0,Business Marketing,49900,12600,29700,44600,64200,75100
Sauk Valley Community College,IL,Great Lakes,Public,4190.0,11960.0,11196.0,Health,35300,5900,18700,30300,47200,59300
Shawnee Community College,IL,Great Lakes,Public,3840.0,6304.0,17899.0,Health,29500,4900,13900,25100,39600,53700
