major,major_category,10p_starting,25p_starting,median_starting,75p_staring,90p_starting,10p_mid,25p_mid,median_mid,75p_mid,90p_mid
Medical assisting services,Health,0.0,0.0,5550.0,40000.0,56200.0,9760.0,29250.0,44500.0,62500.0,72800.00000000001
Medical technologies technicians,Health,600.0000000000006,20000.0,36000.0,45000.0,62000.00000000001,13710.000000000005,30500.0,53000.0,70500.0,95000.0
Metallurgical engineering,Engineering,1380.0,1500.0,1700.0,38350.0,60340.0,14000.0,35000.0,70000.0,105000.0,126000.0
Microbiology,Biology & Life Science,0.0,500.0,10000.0,28250.0,40200.0,37.000000000000036,13500.0,40350.0,63000.0,89000.00000000001
Military technologies,Industrial Arts & Consumer Services,2000.0,5000.0,10000.0,15000.0,18000.0,63000.0,63000.0,63000.0,63000.0,63000.0
Mining and mineral engineering,Engineering,26040.0,46000.0,58000.0,93000.0,98200.0,24480.000000000004,55400.0,72000.0,107000.0,110400.0
Miscellaneous agriculture,Agriculture & Natural Resources,12000.0,12000.0,13500.0,32500.0,64000.000000000015,0.0,0.0,0.0,0.0,0.0
Miscellaneous biology,Biology & Life Science,0.0,0.0,20800.0,30000.0,42140.0,15000.0,30100.0,48000.0,59000.0,80000.0
Miscellaneous business & medical administration,Business,3000.0,12000.0,29000.0,40250.0,55000.0,0.0,24500.0,61000.0,92750.0,124400.0
Miscellaneous education,Education,1240.0000000000002,6000.0,25000.0,35000.0,46800.0,2400.0,20650.0,40000.0,68500.0,85600.0
Miscellaneous engineering,Engineering,1200.0,18500.0,33000.0,49000.0,72500.0,7600.000000000002,44400.0,58000.0,95000.0,123200.0
Miscellaneous engineering technologies,Engineering,0.0,6000.0,19000.0,35000.0,45000.0,11160.0,41250.0,65500.0,99750.0,118600.0
Miscellaneous fine arts,Arts,0.0,0.0,18000.0,34400.0,46520.0,9000.0,22500.0,45000.0,57500.0,65000.0
Miscellaneous health medical professions,Health,2050.0,6100.0,22000.0,32750.0,41000.0,0.0,0.0,15700.0,47250.0,71800.0
Miscellaneous psychology,Psychology & Social Work,0.0,2600.0,22100.0,32500.0,47000.0,13900.0,27750.0,68500.0,143000.0,220590.0
Miscellaneous social sciences,Social Science,3770.0000000000005,11225.0,35000.0,43100.0,49280.0,16000.0,32500.0,60000.0,67500.0,72000.0
Molecular biology,Biology & Life Science,300.0,3125.0,14850.0,35750.0,43529.99999999999,0.0,1800.0,55000.0,88000.0,107500.00000000003
Multi-disciplinary or general science,Physical Sciences,0.0,4000.0,23800.0,40000.0,50000.0,0.0,2500.0,47000.0,72000.0,100000.0
Multi/interdisciplinary studies,Interdisciplinary,3220.000000000001,14250.0,28750.0,44750.0,69800.0,629.9999999999997,17075.0,39400.0,61500.0,117000.00000000003
Music,Arts,0.0,3750.0,13000.0,29700.0,46400.0,0.0,9625.0,38500.0,63500.0,90800.00000000001
Natural resources management,Agriculture & Natural Resources,9600.0,12200.0,24000.0,32500.0,45600.00000000001,5000.0,24500.0,42000.0,61000.0,80000.0
Neuroscience,Biology & Life Science,0.0,3375.0,6550.0,18750.0,43670.000000000015,57600.0,60000.0,64000.0,68000.0,70400.0
"Nuclear, industrial radiology, and biological technologies",Physical Sciences,1260.0,2400.0,30000.0,37000.0,55600.0,27700.0,39950.0,46000.0,62250.0,77500.0
Nursing,Health,2450.0,15000.0,40000.0,52000.0,65500.0,1840.0000000000007,30000.0,56000.0,75000.0,100000.0
Nutrition sciences,Health,0.0,1700.0,10000.0,25500.0,46340.00000000001,5020.0,27750.0,40500.0,63000.0,83500.0
Oceanography,Physical Sciences,10800.0,18000.0,50000.0,50000.0,57200.0,9930.000000000002,24825.0,37050.0,42000.0,43800.0
Operations logistics and e-commerce,Business,6250.0,20000.0,37500.0,54750.0,67000.0,31380.0,41900.0,69000.0,88000.0,115999.99999999999
Other foreign languages,Humanities & Liberal Arts,0.0,0.0,4250.0,32250.0,52200.0,0.0,0.0,38200.0,72250.0,85000.0
Pharmacology,Biology & Life Science,11700.0,15750.0,23000.0,33500.0,43400.0,57000.0,57000.0,57000.0,57000.0,57000.0
Pharmacy pharmaceutical sciences and administration,Health,0.0,0.0,6000.0,12500.0,26600.000000000022,0.0,1250.0,19850.0,87500.0,138000.00000000006
Philosophy and religious studies,Humanities & Liberal Arts,60.00000000000032,3300.0,14000.0,30000.0,43999.999999999985,0.0,13200.0,35000.0,68500.0,93000.00000000004
Physical and health education teaching,Education,600.0000000000006,8000.0,22000.0,35000.0,40000.0,259.00000000000006,23725.0,41500.0,54000.0,61500.00000000002
Physical fitness parks recreation and leisure,Industrial Arts & Consumer Services,0.0,4000.0,13000.0,30000.0,41160.000000000015,0.0,23250.0,45000.0,70000.0,100000.0
Physical sciences,Physical Sciences,1800.0,3950.0,5000.0,5750.0,13000.0,120000.0,120000.0,120000.0,120000.0,120000.0
Physics,Physical Sciences,4000.0,15400.0,30000.0,47750.0,62800.000000000015,1680.0,30000.0,60000.0,110000.0,169999.99999999994
Physiology,Biology & Life Science,0.0,417.5,11900.0,24250.0,43080.000000000015,0.0,29075.0,47500.0,88750.0,106400.00000000001
Plant science and agronomy,Agriculture & Natural Resources,0.0,3950.0,13200.0,36500.0,46080.0,14000.000000000004,21000.0,41500.0,56000.0,106600.00000000001
Political science and government,Social Science,0.0,4000.0,15000.0,35000.0,50000.0,0.0,26250.0,50000.0,80000.0,120600.00000000004
Pre-law and legal studies,Law & Public Policy,1080.0,5250.0,15000.0,18900.0,35500.0,0.0,30000.0,39500.0,45000.0,66100.00000000003
Psychology,Psychology & Social Work,0.0,4000.0,15000.0,30000.0,42000.0,0.0,4000.0,37000.0,68000.0,94400.00000000003
Public administration,Law & Public Policy,0.0,3500.0,23000.0,31650.0,56999.99999999997,3600.000000000003,37000.0,60000.0,80000.0,157000.00000000006
Public policy,Law & Public Policy,4960.0,12000.0,16000.0,23400.0,61600.00000000001,0.0,12000.0,51500.0,101500.0,153500.0
Science and computer teacher education,Education,6330.000000000001,11550.0,25750.0,35575.0,37930.0,13940.000000000004,33875.0,41500.0,48500.0,104400.0
Secondary teacher education,Education,4800.000000000001,12500.0,30000.0,37000.0,42600.0,0.0,17250.0,40000.0,47750.0,69200.00000000001
Social psychology,Psychology & Social Work,15300.0,20250.0,28500.0,36750.0,41700.0,1200.0,6800.0,37500.0,73750.0,92500.0
Social science or history teacher education,Education,360.00000000000006,12000.0,31000.0,36000.0,39800.0,3090.0,35575.0,43000.0,53500.0,81300.00000000006
Social work,Psychology & Social Work,0.0,5000.0,16000.0,30000.0,34599.99999999999,0.0,5850.0,30000.0,42250.0,55000.0
Sociology,Social Science,600.0,7500.0,20000.0,34000.0,48000.0,0.0,16750.0,40000.0,61500.0,97400.00000000004
Soil science,Agriculture & Natural Resources,75000.0,75000.0,75000.0,75000.0,75000.0,86800.0,89500.0,94000.0,98500.0,101200.0
Special needs education,Education,7000.0,19350.0,34000.0,37750.0,44000.0,0.0,8000.0,40000.0,50000.0,65999.99999999999
Statistics and decision science,Computers & Mathematics,0.0,450.0,1900.0,27000.0,37400.00000000001,11200.0,28000.0,56000.0,84000.0,100800.0
Studio arts,Arts,3970.0000000000005,9000.0,18300.0,32500.0,40600.0,0.0,0.0,19600.0,46500.0,72500.0
Teacher education: multiple levels,Education,0.0,7350.0,32000.0,37100.0,39600.0,300.0,12075.0,33000.0,41500.0,46500.0
Theology and religious vocations,Humanities & Liberal Arts,1380.0,12000.0,20000.0,26500.0,35000.0,0.0,1670.0,30000.0,48250.0,67000.0
Transportation sciences and technologies,Industrial Arts & Consumer Services,2760.000000000002,10875.0,23500.0,38750.0,60000.0,19650.0,48500.0,72500.0,99000.0,117300.00000000003
Treatment therapy professions,Health,600.0,6000.0,21000.0,40000.0,50000.0,4000.0,20040.0,48000.0,75000.0,86000.0
United states history,Humanities & Liberal Arts,540.0000000000001,1350.0,9650.0,25625.0,40250.00000000001,62400.0,70500.0,107500.0,146250.0,157500.0
Visual and performing arts,Arts,762.0000000000002,4300.0,12500.0,25250.0,36650.00000000001,0.0,8675.0,23500.0,48375.0,90200.0
Zoology,Biology & Life Science,22030.0,25225.0,35000.0,56750.0,124999.99999999997,0.0,7500.0,32500.0,53250.0,124600.00000000012
Nuclear engineering,Engineering,18000.0,45000.0,90000.0,113000.0,126800.0,349200.0,349200.0,349200.0,349200.0,349200.0
Petroleum engineering,Engineering,29200.000000000004,49000.0,85000.0,110000.0,110000.0,170000.0,170000.0,170000.0,170000.0,170000.0
School student counseling,Education,5000.0,5000.0,5000.0,5000.0,5000.0,100000.0,100000.0,100000.0,100000.0,100000.0
Naval architecture and marine engineering,Engineering,25040.0,32600.0,48400.0,65000.0,74000.0,7800.000000000001,19500.0,53000.0,82750.0,87700.0
